Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,43.840000,43.849998,43.230000,43.349998,42.812355,204100
2019-12-03,42.900002,43.000000,42.509998,42.959999,42.427193,173500
2019-12-04,43.000000,43.070000,42.810001,42.919998,42.387688,113000
2019-12-05,43.570000,43.570000,43.209999,43.360001,42.822231,106200
2019-12-06,43.599998,43.799999,43.590000,43.680000,43.138264,65500
2019-12-09,43.520000,43.630001,43.250000,43.250000,42.713596,74800
2019-12-10,43.500000,43.590000,43.340000,43.459999,42.920990,62700
2019-12-11,43.610001,43.900002,43.610001,43.889999,43.345657,71100
2019-12-12,43.930000,44.470001,43.930000,44.389999,43.839455,92400
2019-12-13,45.139999,45.380001,44.990002,45.299999,44.738171,161500
2019-12-16,45.660000,45.810001,45.470001,45.509998,44.945564,85300
2019-12-17,45.959999,46.220001,45.930000,46.180000,45.607258,96300
2019-12-18,46.240002,46.299999,45.119999,45.270000,44.708542,189900
2019-12-19,46.150002,46.189999,45.900002,46.029999,45.459114,127900
2019-12-20,46.330002,46.450001,46.230000,46.340000,45.765274,103000
2019-12-23,46.650002,46.790001,46.490002,46.619999,46.041798,116000
2019-12-24,46.680000,46.799999,46.540001,46.799999,46.219566,46500
2019-12-26,46.939999,46.950001,46.750000,46.900002,46.318329,74200
2019-12-27,47.060001,47.200001,46.919998,47.049999,46.466465,92100
2019-12-30,47.250000,47.400002,47.110001,47.209999,46.624481,107700
2019-12-31,47.099998,47.290001,46.860001,47.160000,46.575104,89300
2020-01-02,47.349998,47.700001,47.259998,47.669998,47.078773,176400
2020-01-03,47.230000,47.529999,47.029999,47.209999,46.624481,254000
2020-01-06,46.750000,47.230000,46.689999,47.180000,46.594852,164200
2020-01-07,47.410000,47.450001,47.189999,47.310001,46.723244,95200
2020-01-08,47.560001,47.799999,47.369999,47.619999,47.029396,142300
2020-01-09,47.910000,47.990002,47.680000,47.959999,47.365181,126000
2020-01-10,47.669998,47.919998,47.490002,47.509998,46.920761,144900
2020-01-13,47.549999,47.990002,47.439999,47.990002,47.394810,128800
2020-01-14,47.189999,47.450001,47.130001,47.250000,46.663986,216900
2020-01-15,47.080002,47.250000,46.860001,47.009998,46.426960,253700
2020-01-16,47.009998,47.029999,46.740002,46.959999,46.377583,159800
2020-01-17,46.459999,46.580002,46.220001,46.570000,45.992420,251100
2020-01-21,47.669998,48.400002,47.450001,47.790001,47.197289,571200
2020-01-22,48.160000,48.660000,48.160000,48.560001,47.957741,531600
2020-01-23,48.130001,48.529999,48.029999,48.480000,47.878731,199100
2020-01-24,48.520000,48.830002,48.099998,48.130001,47.533073,155000
2020-01-27,46.740002,47.189999,46.639999,46.799999,46.219566,267000
